numNodes,txPackets,rxPackets,delaySumSeconds,rxBytes,throughputKbps,avgDelayMs,lossRatioPercent
2,121,121,0.14845,127292,203.667,1.22686,0
3,241,241,0.299584,253532,405.651,1.24309,0
4,361,361,0.432736,379772,607.635,1.19871,0
5,480,422,3.51531,443944,710.31,8.33013,12.0833
6,599,540,3.6543,568080,908.928,6.76722,9.84975
7,717,540,3.92801,568080,908.928,7.27409,24.6862
8,834,598,0.864485,629096,1006.55,1.44563,28.2974
9,951,540,3.71213,568080,908.928,6.87432,43.2177
10,1067,598,0.911001,629096,1006.55,1.52341,43.955
11,1182,540,3.90865,568080,908.928,7.23825,54.3147
12,1297,598,1.02352,629096,1006.55,1.71158,53.8936
13,1411,598,0.987364,629096,1006.55,1.65111,57.6187
14,1525,540,3.76142,568080,908.928,6.96559,64.5902
15,1638,598,0.984521,629096,1006.55,1.64636,63.4921
16,1750,598,0.905958,629096,1006.55,1.51498,65.8286
17,1862,598,0.862066,629096,1006.55,1.44158,67.884
18,1973,598,1.01985,629096,1006.55,1.70544,69.6908
19,2084,598,0.957067,629096,1006.55,1.60045,71.3052
20,2194,540,3.72564,568080,908.928,6.89934,75.3874
21,2303,598,0.837899,629096,1006.55,1.40117,74.0339
22,2412,540,3.6453,568080,908.928,6.75056,77.6119
23,2520,598,0.921955,629096,1006.55,1.54173,76.2698
24,2628,598,0.831497,629096,1006.55,1.39046,77.2451
25,2735,598,0.84106,629096,1006.55,1.40645,78.1353
26,2841,598,0.947924,629096,1006.55,1.58516,78.9511
27,2947,598,0.915612,629096,1006.55,1.53112,79.7082
28,3052,598,0.896083,629096,1006.55,1.49847,80.4063
29,3156,598,0.889308,629096,1006.55,1.48714,81.052
30,3260,598,0.88103,629096,1006.55,1.47329,81.6564
